id,trigger,conditions,script,text,options,notes
aEP_researcher_stage2_ReAskHandInAccepted,DialogOptionSelected,$option == aEP_researcher_stage2_ReAskHandInAccepted,"aEP_AdvanceWeaponMission giveShip3
$faction.AWM_3DidExchange = true
","""Thank you for your cooperation.""","0:cutCommLink:""Sure.""",
aEP_researcher_stage2_ReAskHandInDecline,DialogOptionSelected,"$option == aEP_researcher_stage2_ReAskHandInDecline
","aEP_HandInParts aEP_cruise_missile2 -10 none 0
$faction.AWM_3RecoveredShip = true
","""Interesting. We have some missiles available for this prototype, shipped to your dock, please check them out at your leisure. You can find some targets to test fire at, so long that you hand over the data to me. Any responsibility regarding the operation of this ship and any consequences is yours, understand?""","0:cutCommLink:""Then I have to thank you for your trust.""",
aEP_researcher_stage2_greeting_if_not_recovered,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_3Complete == true
$faction.AWM_4MetYang == false
","ShowPersonVisual
","""So I'll leave it in your hands for now. Don't get us into trouble, okay?""","0:cutCommLink:""See you later.""",
,,,,,,
,,,,,,
#第四个任务，找到隐藏星系,,,,,,
aEP_researcher_stage3_contact_greeting,PickGreeting,"MissionHubCMD hasHub
","
ShowPersonVisual
FireAll PopulateOptions",,,
aEP_researcher_stage3,MarketPostOpen,"$id == aEP_FSF_DefStation
!$faction.isHostile
$faction.AWM_3Complete == true
$faction.AWM_4Complete == false
$faction.AWM_4MetYang == false
$faction.AWM_3RecoveredShip == true
aEP_AdvanceWeaponMission shouldStart4

","$faction.AWM_4MetYang = true
aEP_AdvanceWeaponMission highlightPerson lili_yang  on","As you approach the station you are greeted with an all too familiar message from within the Company: ""Captain, I have something to say to you - you know my comm id.""","0:aEP_researcher_stage0_GreetDecline:""Got it.""",
aEP_researcher_stage3_talk01,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_3Complete == true
$faction.AWM_4Complete == false
$faction.AWM_4MetYang == true
aEP_AdvanceWeaponMission shouldStart4

",aEP_AdvanceWeaponMission highlightPerson lili_yang  off,"""You've arrived? Meet me at the usual place. Don't worry about it, this time it's not about work, it's more like an invitation.""",0:aEP_researcher_stage3_talk02:Go to deck R024,
aEP_researcher_stage3_talk02,DialogOptionSelected,$option == aEP_researcher_stage3_talk02,ShowPersonVisual,"After walking through the familiar aisles of the Institute, you arrive at $personFirstName's office again, and unlike the relaxed conversation the both of you just had, $personFirstName has a serious expression on her face. ""This time, what you are going to hear is quite confidential, but I would like you to be the only one to hear the conversation next. As a goodwill gesture I'll allow you to bring your sidearm, how about that?""","0:aEP_researcher_stage3_talk03:""That sounds like a trap.""",
aEP_researcher_stage3_talk03,DialogOptionSelected,$option == aEP_researcher_stage3_talk03,,"""So your choice is?"" As she asks, she opens the door at the same time, as if knowing you would agree by default.",0:aEP_researcher_stage3_talk04:Follow her inside,
aEP_researcher_stage3_talk04,DialogOptionSelected,$option == aEP_researcher_stage3_talk04,,"Once seated, she takes a document from the drawer, saying, ""I should have mentioned that this is more of an invitation, as considering the extent you have worked with us, you have proved yourself a true friend of the company. "" Before you can express your disinterest in joining the Company proper, she quickly steers the conversation elsewhere. ""I wonder what your thoughts are on the AI fleets now roaming around the fringes of the Sector? Do you believe they are still under the control of someone, or something? A scouting fleet of ours found one of the Remnant fleets inside one of the fringe systems eight years ago that hadn't yet been marked by the Hegemony and found some...interesting stuff. Anyway, that particular system has now become a secret base for the Company."" With that she hands you the paper in her hand, with what looks like a series of hyperspace coordinates and code words written on it.

","0:aEP_researcher_stage3_talk05:""On paper? This must be quite confidential.""",
aEP_researcher_stage3_talk05,DialogOptionSelected,$option == aEP_researcher_stage3_talk05,"$faction.AWM_4Complete = true
aEP_AdvanceWeaponMission start4","""With this document, you can purchase the company's latest armaments. This is a token of the company's appreciation for its partners, and I'm sure we'll be able to work together some time soon!""
","0:cutCommLink:""Thanks.""",
,,,,,,
,,,,,,
#第一次进入隐藏星系被卫队抓住，因为打开comm以后目标变成了人而不是舰队，所以要改舰队的mem是$entity.xxx而不是$xxx,,,,,,
aEP_researcher_stage3_guardian_met,OpenCommLink,"$faction.id == aEP_FSF
$entity.id == aEP_DWR43_JumpPointGuard score:100
$entity.have_permission == false",aEP_AdvanceWeaponMission checkPermission4,"""You are entering a restricted area of the FSF Corporation, please show your authorisation documents.""",,
aEP_researcher_stage3_guardian_met_have,DialogOptionSelected,$option == aEP_researcher_stage3_guardian_met_have,"$entity.have_permission = true
unset $entity.cfai_makeHostile
unset $entity.pursuePlayer
unset $entity.$cfai_makeAggressive
$entity.$$cfai_makeAllowDisengage = true","""Authorisation in progress...confirmed, have a nice day.""",0:cutCommLink:Cut the comm link,
aEP_researcher_stage3_guardian_met_nothave,DialogOptionSelected,"$option == aEP_researcher_stage3_guardian_met_nothave
",,"""We can't let you leave without showing a permit.""",0:cutCommLink:Cut the comm link,
,,,,,,
,,,,,,
#page manager,,,,,,
aEP_PageManager_previous,DialogOptionSelected,$option == aEP_PageManager_previous,aEP_PageManager previous,,,
aEP_PageManager_next,DialogOptionSelected,$option == aEP_PageManager_next,aEP_PageManager next,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
